species,mode_index,w_harm_cm1,v_fund_cm1,delta_cm1,approx_intensity_km_mol,intensity_source,wavelength_nm
HDO-HDO-DD,1,127.261,106.899,-20.363,136.188,harmonic_IR_intensity,93546.24458601109
HDO-HDO-DD,2,135.183,113.7,-21.483,118.983,harmonic_IR_intensity,87950.74758135444
HDO-HDO-DD,3,172.464,140.654,-31.809,73.599,harmonic_IR_intensity,71096.4494433148
HDO-HDO-DD,4,297.691,247.027,-50.664,44.593,harmonic_IR_intensity,40481.40486667449
HDO-HDO-DD,5,448.944,409.825,-39.119,60.283,harmonic_IR_intensity,24400.65881778808
HDO-HDO-DD,6,1422.953,1389.583,-33.369,52.401,harmonic_IR_intensity,7196.403525374159
HDO-HDO-DD,7,1435.699,1399.449,-36.25,63.932,harmonic_IR_intensity,7145.669474200203
HDO-HDO-DD,8,2732.6,2664.223,-68.377,188.557,harmonic_IR_intensity,3753.439558175123
HDO-HDO-DD,9,2828.541,2738.904,-89.637,24.331,harmonic_IR_intensity,3651.095474686225
HDO-HDO-DD,10,3895.048,3724.818,-170.23,55.806,harmonic_IR_intensity,2684.694930061012
HDO-HDO-DD,11,3913.118,3731.635,-181.483,35.37,harmonic_IR_intensity,2679.7904939791806
HDO-HDO-DH,0,103.296,94.064,-9.232,36.585,harmonic_IR_intensity,106310.59704031299
HDO-HDO-DH,1,127.161,118.346,-8.815,137.187,harmonic_IR_intensity,84497.99739746167
HDO-HDO-DH,2,135.268,114.62,-20.648,117.797,harmonic_IR_intensity,87244.80893386844
HDO-HDO-DH,3,172.439,147.278,-25.162,73.459,harmonic_IR_intensity,67898.80362308017
HDO-HDO-DH,4,297.593,249.799,-47.794,44.605,harmonic_IR_intensity,40032.18587744547
HDO-HDO-DH,5,449.002,407.616,-41.386,60.321,harmonic_IR_intensity,24532.893703878162
HDO-HDO-DH,6,1422.92,1391.266,-31.654,52.386,harmonic_IR_intensity,7187.698110929182
HDO-HDO-DH,7,1435.714,1398.721,-36.993,63.953,harmonic_IR_intensity,7149.388620032158
HDO-HDO-DH,8,2732.588,2664.302,-68.285,188.565,harmonic_IR_intensity,3753.3282638379583
HDO-HDO-DH,9,2828.578,2733.853,-94.725,24.33,harmonic_IR_intensity,3657.8411494692655
HDO-HDO-DH,10,3895.024,3730.734,-164.29,55.8,harmonic_IR_intensity,2680.437683308432
HDO-HDO-DH,11,3913.107,3733.491,-179.617,35.367,harmonic_IR_intensity,2678.458311537379
HDO-HDO-HD,0,97.689,79.81,-17.879,88.338,harmonic_IR_intensity,125297.5817566721
HDO-HDO-HD,1,112.475,83.365,-29.111,44.213,harmonic_IR_intensity,119954.41732141787
HDO-HDO-HD,2,139.522,112.203,-27.319,124.506,harmonic_IR_intensity,89124.17671541759
HDO-HDO-HD,3,169.131,138.666,-30.465,55.685,harmonic_IR_intensity,72115.73132563138
HDO-HDO-HD,4,296.274,223.235,-73.039,42.246,harmonic_IR_intensity,44795.84294577463
HDO-HDO-HD,5,591.241,450.321,-140.92,94.563,harmonic_IR_intensity,22206.381669964314
HDO-HDO-HD,6,1435.077,1398.401,-36.676,75.16,harmonic_IR_intensity,7151.024634564763
HDO-HDO-HD,7,1474.231,1426.962,-47.27,40.393,harmonic_IR_intensity,7007.895094613592
HDO-HDO-HD,8,2828.367,2735.048,-93.319,26.116,harmonic_IR_intensity,3656.242961732299
HDO-HDO-HD,9,2841.997,2743.856,-98.141,11.895,harmonic_IR_intensity,3644.5061256858958
HDO-HDO-HD,10,3761.296,3628.338,-132.958,371.298,harmonic_IR_intensity,2756.0828125714856
HDO-HDO-HD,11,3895.228,3723.785,-171.443,52.909,harmonic_IR_intensity,2685.4396803252607
HDO-HDO-HH,0,97.64,72.41,-25.23,88.03,harmonic_IR_intensity,138102.47203424943
HDO-HDO-HH,1,112.253,96.668,-15.585,44.881,harmonic_IR_intensity,103446.84900897917
HDO-HDO-HH,2,139.521,105.038,-34.483,124.333,harmonic_IR_intensity,95203.64058721605
HDO-HDO-HH,3,169.111,140.636,-28.475,55.496,harmonic_IR_intensity,71105.54907704997
HDO-HDO-HH,4,296.169,221.897,-74.272,42.254,harmonic_IR_intensity,45065.954023713704
HDO-HDO-HH,5,591.223,448.01,-143.213,94.581,harmonic_IR_intensity,22320.93033637642
HDO-HDO-HH,6,1435.061,1399.138,-35.923,75.15,harmonic_IR_intensity,7147.257811595426
HDO-HDO-HH,7,1474.235,1427.6,-46.635,40.406,harmonic_IR_intensity,7004.763239002522
HDO-HDO-HH,8,2828.358,2732.705,-95.653,26.12,harmonic_IR_intensity,3659.3777959933473
HDO-HDO-HH,9,2841.98,2745.361,-96.619,11.899,harmonic_IR_intensity,3642.50821658791
HDO-HDO-HH,10,3761.308,3628.015,-133.293,371.286,harmonic_IR_intensity,2756.328184971672
HDO-HDO-HH,11,3895.202,3728.54,-166.662,52.91,harmonic_IR_intensity,2682.014944187269
HDO,0,1432.557,1392.627,-39.93,64.671,harmonic_IR_intensity,7180.673647717587
HDO,1,2834.055,2736.298,-97.757,18.216,harmonic_IR_intensity,3654.5727110132016
HDO,2,3902.938,3733.855,-169.083,39.525,harmonic_IR_intensity,2678.197198337911
