species,band_type,mode_index,mode1,mode2,frequency_cm1,wavelength_nm,intensity_km_mol,source
D2O-D2O-DX,combination,,0,1.0,167.9,59559.26146515783,0.55,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,2.0,182.66,54746.52359575167,0.01,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,3.0,215.57,46388.64405993413,0.06,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,4.0,328.19,30470.154483683233,1.3,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,5.0,433.66,23059.539731586956,0.39,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,6.0,1257.52,7952.159806603474,0.33,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,7.0,1267.39,7890.231104869061,0.02,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,8.0,2726.54,3667.6520425154226,0.06,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,9.0,2772.19,3607.256356887515,0.35,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,10.0,2854.48,3503.2650430200947,0.04,GVPT2_overtone_combination
D2O-D2O-DX,combination,,0,11.0,2880.48,3471.643614953063,0.28,GVPT2_overtone_combination
D2O-D2O-DX,overtone,,1,1.0,170.27,58730.251952780876,0.51,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,2.0,182.72,54728.54640980736,0.06,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,3.0,221.49,45148.76518127229,0.0,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,4.0,302.6,33046.92663582286,0.18,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,5.0,459.91,21743.38457524298,0.05,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,6.0,1262.47,7920.980300521993,0.0,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,7.0,1268.48,7883.451059535822,0.17,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,8.0,2733.85,3657.845163414233,0.02,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,9.0,2775.79,3602.5780048202496,0.03,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,10.0,2859.21,3497.469580758321,0.09,GVPT2_overtone_combination
D2O-D2O-DX,combination,,1,11.0,2884.01,3467.3943571624227,0.13,GVPT2_overtone_combination
D2O-D2O-DX,overtone,,2,2.0,184.69,54144.783150143485,1.56,GVPT2_overtone_combination
D2O-D2O-DX,combination,,2,3.0,230.2,43440.48653344918,0.65,GVPT2_overtone_combination
D2O-D2O-DX,combination,,2,4.0,314.02,31845.1054072989,1.97,GVPT2_overtone_combination
D2O-D2O-DX,combination,,2,5.0,459.11,21781.272461937227,0.52,GVPT2_overtone_combination
D2O-D2O-DX,combination,,2,6.0,1273.74,7850.895787209321,0.38,GVPT2_overtone_combination
D2O-D2O-DX,combination,,2,7.0,1275.73,7838.649243962281,0.02,GVPT2_overtone_combination
D2O-D2O-DX,combination,,2,8.0,2744.68,3643.411982453328,0.33,GVPT2_overtone_combination
D2O-D2O-DX,combination,,2,9.0,2786.42,3588.8344183576055,0.11,GVPT2_overtone_combination
D2O-D2O-DX,combination,,2,10.0,2869.06,3485.4621374248013,0.04,GVPT2_overtone_combination
D2O-D2O-DX,combination,,2,11.0,2892.84,3456.8106082603945,0.05,GVPT2_overtone_combination
D2O-D2O-DX,overtone,,3,3.0,263.6,37936.26707132018,0.64,GVPT2_overtone_combination
D2O-D2O-DX,combination,,3,4.0,348.24,28715.828164484265,0.26,GVPT2_overtone_combination
D2O-D2O-DX,combination,,3,5.0,493.78,20251.934059702704,1.09,GVPT2_overtone_combination
D2O-D2O-DX,combination,,3,6.0,1310.85,7628.637906701759,0.02,GVPT2_overtone_combination
D2O-D2O-DX,combination,,3,7.0,1316.82,7594.052338208715,0.03,GVPT2_overtone_combination
D2O-D2O-DX,combination,,3,8.0,2782.95,3593.309258161304,0.51,GVPT2_overtone_combination
D2O-D2O-DX,combination,,3,9.0,2825.95,3538.6330260620325,0.14,GVPT2_overtone_combination
D2O-D2O-DX,combination,,3,10.0,2901.72,3446.231890051418,0.34,GVPT2_overtone_combination
D2O-D2O-DX,combination,,3,11.0,2933.46,3408.9437047036604,0.02,GVPT2_overtone_combination
D2O-D2O-DX,overtone,,4,4.0,410.69,24349.26586963403,0.93,GVPT2_overtone_combination
D2O-D2O-DX,combination,,4,5.0,580.62,17222.968550859427,0.0,GVPT2_overtone_combination
D2O-D2O-DX,combination,,4,6.0,1400.04,7142.653067055227,0.13,GVPT2_overtone_combination
D2O-D2O-DX,combination,,4,7.0,1399.2,7146.94110920526,0.16,GVPT2_overtone_combination
D2O-D2O-DX,combination,,4,8.0,2880.08,3472.1257742840476,0.45,GVPT2_overtone_combination
D2O-D2O-DX,combination,,4,9.0,2914.37,3431.273311213058,0.4,GVPT2_overtone_combination
D2O-D2O-DX,combination,,4,10.0,2994.54,3339.4110614652,0.04,GVPT2_overtone_combination
D2O-D2O-DX,combination,,4,11.0,3022.16,3308.891653651693,0.02,GVPT2_overtone_combination
D2O-D2O-DX,overtone,,5,5.0,702.16,14241.768257946907,0.48,GVPT2_overtone_combination
D2O-D2O-DX,combination,,5,6.0,1548.46,6458.029267788642,0.0,GVPT2_overtone_combination
D2O-D2O-DX,combination,,5,7.0,1559.0,6414.368184733804,0.04,GVPT2_overtone_combination
D2O-D2O-DX,combination,,5,8.0,3035.55,3294.2959266030866,0.0,GVPT2_overtone_combination
D2O-D2O-DX,combination,,5,9.0,3062.6,3265.1995036896756,0.02,GVPT2_overtone_combination
D2O-D2O-DX,combination,,5,10.0,3146.96,3177.6698782316903,0.07,GVPT2_overtone_combination
D2O-D2O-DX,combination,,5,11.0,3169.87,3154.703505191065,0.02,GVPT2_overtone_combination
D2O-D2O-DX,overtone,,6,6.0,2329.75,4292.306041420753,0.02,GVPT2_overtone_combination
D2O-D2O-DX,combination,,6,7.0,2351.39,4252.803660813392,0.01,GVPT2_overtone_combination
D2O-D2O-DX,combination,,6,8.0,3813.39,2622.3386540584625,0.03,GVPT2_overtone_combination
D2O-D2O-DX,combination,,6,9.0,3856.31,2593.152521451854,0.01,GVPT2_overtone_combination
D2O-D2O-DX,combination,,6,10.0,3944.17,2535.387673452209,0.07,GVPT2_overtone_combination
D2O-D2O-DX,combination,,6,11.0,3961.54,2524.2708643608294,1.48,GVPT2_overtone_combination
D2O-D2O-DX,overtone,,7,7.0,2339.8,4273.869561500983,0.03,GVPT2_overtone_combination
D2O-D2O-DX,combination,,7,8.0,3815.22,2621.0808288906014,0.51,GVPT2_overtone_combination
D2O-D2O-DX,combination,,7,9.0,3868.79,2584.78749169637,0.0,GVPT2_overtone_combination
D2O-D2O-DX,combination,,7,10.0,3943.56,2535.7798537362182,1.71,GVPT2_overtone_combination
D2O-D2O-DX,combination,,7,11.0,3976.09,2515.0336134242434,0.05,GVPT2_overtone_combination
D2O-D2O-DX,overtone,,8,8.0,5209.75,1919.477902010653,0.04,GVPT2_overtone_combination
D2O-D2O-DX,combination,,8,9.0,5326.72,1877.3278865793584,0.03,GVPT2_overtone_combination
D2O-D2O-DX,combination,,8,10.0,5358.21,1866.2949007224427,0.55,GVPT2_overtone_combination
D2O-D2O-DX,combination,,8,11.0,5434.72,1840.0211970441899,0.0,GVPT2_overtone_combination
