species,mode1,mode2,same_mode,frequency_cm1,wavelength_nm,intensity_km_mol,eps_L_per_mol_cm,t2_au,tx,ty,tz
D2O-HDO-DD,0,7,False,1479.45,6759.2686471323805,0.33,6.6e-05,1.4e-05,0.002326,-0.002022,0.002094
D2O-HDO-DD,0,8,False,2726.83,3667.2619855289845,0.08,1.6e-05,2e-06,0.000914,0.000993,0.000179
D2O-HDO-DD,0,9,False,2822.54,3542.9081607346575,0.88,0.000175,1.9e-05,0.001048,0.004219,-0.000658
D2O-HDO-DD,0,10,False,2842.93,3517.497792770135,0.18,3.5e-05,4e-06,-0.001172,0.000985,-0.001245
D2O-HDO-DD,0,11,False,3804.73,2628.307396319844,0.06,1.2e-05,1e-06,-0.00093,-0.000335,-0.000198
D2O-HDO-DD,1,1,True,160.63,62254.87144369047,0.65,0.000129,0.000251,0.015773,-0.001455,-0.000257
D2O-HDO-DD,1,2,False,191.5,52219.32114882507,0.12,2.4e-05,3.9e-05,0.005851,0.000362,0.002061
D2O-HDO-DD,1,3,False,218.77,45710.10650454815,0.21,4.2e-05,6e-05,0.007754,-0.000156,0.000306
D2O-HDO-DD,1,4,False,311.85,32066.698733365396,0.55,0.000108,0.000108,-0.007075,0.000435,-0.007625
D2O-HDO-DD,1,5,False,463.57,21571.715167072933,0.12,2.5e-05,1.7e-05,0.002218,0.002208,-0.002614
D2O-HDO-DD,1,6,False,1264.69,7907.076042350299,0.11,2.3e-05,6e-06,0.000998,0.002049,-0.000638
D2O-HDO-DD,1,7,False,1482.98,6743.179274164183,0.21,4.2e-05,9e-06,-0.00064,-0.001029,-0.002713
D2O-HDO-DD,1,8,False,2732.77,3659.2907562656205,0.11,2.1e-05,2e-06,-0.000889,-0.0012,-0.000424
D2O-HDO-DD,1,9,False,2814.51,3553.0163332160837,0.07,1.4e-05,2e-06,0.000583,0.000557,-0.000965
D2O-HDO-DD,1,10,False,2852.72,3505.4264000673043,0.09,1.8e-05,2e-06,0.000408,-0.001109,0.000786
D2O-HDO-DD,1,11,False,3807.28,2626.5470362043243,0.1,2e-05,2e-06,-9.8e-05,-0.001135,0.000563
D2O-HDO-DD,2,2,True,192.01,52080.620800999954,0.87,0.000173,0.000281,0.015321,-0.001719,-0.006562
D2O-HDO-DD,2,3,False,242.37,41259.23175310476,0.33,6.6e-05,8.5e-05,0.009096,0.000263,-0.001357
D2O-HDO-DD,2,4,False,354.96,28172.188415596123,5.44,0.001077,0.000947,-0.027516,-0.011224,-0.007977
D2O-HDO-DD,2,5,False,483.58,20679.10169982216,0.76,0.00015,9.7e-05,-0.006137,0.007666,-0.000542
